rating_id,userId,movieId,rating,rating_date
11998478,123100,1,4.0,2015-12-14 20:04:04
11998479,123100,2,3.0,2016-09-06 21:50:11
11998480,123100,5,2.5,2018-08-29 16:12:25
11998481,123100,6,4.0,2015-12-14 19:22:03
11998482,123100,7,3.0,2018-08-29 16:12:25
11998483,123100,9,2.5,2016-12-23 20:35:33
11998484,123100,10,3.0,2017-01-29 03:47:46
11998485,123100,11,4.5,2016-02-11 23:00:43
11998486,123100,14,3.0,2016-12-26 03:24:18
11998487,123100,15,3.0,2016-12-01 20:59:54
11998488,123100,16,4.0,2016-02-13 09:42:50
11998489,123100,17,4.5,2016-02-11 22:10:15
11998490,123100,18,3.0,2015-12-14 19:01:26
11998491,123100,19,1.5,2016-10-09 07:29:35
11998492,123100,20,2.5,2016-12-23 20:35:33
11998493,123100,21,4.0,2016-02-20 02:14:09
11998494,123100,22,3.0,2018-08-29 16:12:25
11998495,123100,23,2.5,2016-12-01 20:59:51
11998496,123100,25,4.5,2016-02-13 09:42:47
11998497,123100,28,4.0,2016-02-14 10:26:51
11998498,123100,29,3.5,2015-12-14 19:44:53
11998499,123100,30,4.0,2016-02-14 10:26:55
11998500,123100,32,4.0,2015-12-14 19:23:44
11998501,123100,34,3.0,2015-12-14 19:01:26
11998502,123100,35,2.5,2016-02-14 10:27:52
11998503,123100,36,4.5,2016-02-11 23:00:38
11998504,123100,39,3.0,2015-12-14 19:01:26
11998505,123100,41,4.5,2016-02-14 10:26:43
11998506,123100,42,2.0,2016-02-14 10:28:07
11998507,123100,43,3.0,2018-08-29 16:12:25
11998508,123100,44,2.5,2016-12-23 20:35:33
11998509,123100,45,3.0,2015-12-14 19:01:25
11998510,123100,47,4.0,2015-12-14 19:21:58
11998511,123100,48,3.0,2015-12-14 20:04:06
11998512,123100,49,2.5,2017-09-07 00:38:54
11998513,123100,50,4.0,2015-12-14 19:21:55
11998514,123100,52,3.5,2015-12-14 19:00:12
11998515,123100,53,4.5,2016-02-11 22:10:25
11998516,123100,55,4.0,2016-02-14 10:26:46
11998517,123100,57,3.0,2017-09-07 07:14:04
11998518,123100,58,3.5,2015-12-14 19:00:16
11998519,123100,59,3.5,2015-12-14 19:21:56
11998520,123100,62,3.5,2018-08-29 16:12:25
11998521,123100,63,3.0,2016-12-23 20:35:28
11998522,123100,65,2.0,2017-03-21 22:29:28
